X,Y,Z
0.0,0.0,0.0
7.800010138594007e-05,0.0005018942140456325,5.739177253457999e-06
0.0007467232719280938,0.000911059615602299,1.9863785467205935e-05
0.0005471866183479736,0.0012336617590965866,3.0066742089575844e-05
-0.00022604314966073312,0.001593635332219066,7.368762792691347e-05
9.141390464550652e-05,0.002447168235724509,0.00014466277826244908
0.0008863779166918218,0.003018167230528092,0.00015907134592549338
0.0016498261787487264,0.0029428406998023285,0.0001507373339838993
0.0014850504908857248,0.002238521533163397,0.00017230701766429764
-0.00307913996390542,0.0015079026925776174,0.00015734336981379954
-0.005232768087109934,-0.0008225877234270995,1.843265275493e-05
-0.014652679194235435,-0.01339300124947682,-9.420033063585862e-05
-0.028391135812096555,-0.03172326300065045,-0.00020896059406736312
-0.04579236604522037,-0.05794272312489614,-0.00036447626377686946
-0.06805091144049526,-0.09255814159252077,-0.000519668950410357
-0.09628274782387956,-0.1345824403661221,-0.0007192876333329031
-0.12915280867630147,-0.1829612609685962,-0.0008494125169005622
-0.16601019503073847,-0.2379714039414543,-0.0009306704814684371
-0.2095012907636673,-0.29882503965291146,-0.0008752859954037654
-0.2602978127890564,-0.36736550070839563,-0.0006433865658889257
-0.3139668371662333,-0.43983341332590636,-0.00021931919737394804
-0.3751552846600669,-0.5154958901976281,0.0004349120438030915
-0.43858065690287573,-0.5953855784652397,0.0012301238699121992
-0.509299470764845,-0.674411424342634,0.00242986257407925
-0.5812555801470496,-0.7553935614075562,0.00376841085183987
-0.6580443634387783,-0.8349138875480063,0.005422213506588515
-0.7361009587236145,-0.9162467520755688,0.007145682534241469
-0.8166648519435834,-0.9931211657558521,0.009192047553878502
-0.896748186088712,-1.0675830267986086,0.011346781968733963
-0.9791747821844851,-1.137349874660851,0.013698976333925672
-1.0635924050506815,-1.2059043819751383,0.016266050667977112
-1.1467823094254228,-1.2602017568491537,0.018827097086466186
-1.2248196685614094,-1.319771845052008,0.021417354698344042
-1.308027637795302,-1.3718800023703204,0.024005871065541275
-1.3868714865329608,-1.4261706194661388,0.026634849359447748
-1.470559488623786,-1.4671207902929382,0.02952542356688443
-1.5477748222135268,-1.5125342843321228,0.03234871552770095
-1.6258046106946924,-1.5537756048326434,0.03545936199414235
-1.7015050646980532,-1.5947144347054567,0.03846989514143943
-1.7796245109013962,-1.63191084303344,0.04164581593870533
-1.8559719985906549,-1.6619905336859169,0.044771547574918934
-1.929621604350698,-1.6927487298642783,0.04805836987552529
-2.0000948780935492,-1.7226856272939053,0.05134640008414747
-2.0738241590436313,-1.7443841268036167,0.054788598308217244
-2.1490397376856745,-1.7624383284081835,0.058204884385021693
-2.2175120649147466,-1.78004126356336,0.06137992081590824
-2.2993519003349783,-1.7815556842454814,0.06495189637826496
-2.4171409692070083,-1.7405367406706465,0.06902236848722611
-2.5696474970198806,-1.648903632313039,0.07392930934367181
-2.736249269958033,-1.5200474182112502,0.07945974627056655
-2.8874863214508513,-1.4070632119227595,0.08574325230289066
-3.0390589432257284,-1.2768979882580722,0.09262918417207124
-3.1849741889353065,-1.1462737693838765,0.1003737565782247
-3.3248882739761436,-1.0130180126966277,0.10874124494620831
-3.4606096234416333,-0.86791323483878,0.11766235628806275
-3.5883361973755052,-0.7303120705574898,0.12717667464814775
-3.7116928955513715,-0.5873840585620337,0.13730165674895775
-3.828739303410259,-0.4379083204474196,0.14779762647052752
-3.9407094561017515,-0.27841794435448614,0.15864074043577442
-4.043218475925683,-0.13732772356959083,0.16968405570310563
-4.1419675516096515,0.02429019860047394,0.1812407370838525
-4.233299296572975,0.18457726008462402,0.19299728423134493
-4.318111683959403,0.35964500309292347,0.2049600086303166
-4.396495437483493,0.5293425465094946,0.21705165065755483
-4.468124923059333,0.7029938331076593,0.22953137854718897
-4.5324464135607085,0.8837045236854459,0.2421778521164025
-4.5895588456958265,1.0577577942220668,0.2547869544441299
-4.63872167601709,1.2455369098555338,0.26743169946162576
-4.683254292206125,1.412718326244054,0.27990785817676916
-4.71515905025454,1.6147738688306164,0.292474864044712
-4.743350704398126,1.7917681264424568,0.304575337528715
-4.759431658740009,1.987588231898287,0.31664274842478746
-4.771637998267428,2.166941716867226,0.32849595515742186
-4.77707105640398,2.343380852866284,0.34003636484043676
-4.772018264881593,2.5259436628066245,0.3514884491763224
-4.758960476934345,2.7073997890598736,0.3627293533329583
-4.739880836722265,2.8822042558593726,0.37353379993415653
-4.707154609454419,3.06846756725509,0.3840772255778685
-4.675079355388699,3.235622232847368,0.3941158890061617
-4.619306728201003,3.4332194085461354,0.40397582588249675
-4.566667057658261,3.6074946674766024,0.4132612427127879
-4.499528304355072,3.7930628447919412,0.42226313007507066
-4.432970713574337,3.963189003367873,0.43054673472845373
-4.346819650072768,4.149401994852199,0.43866106578490677
-4.267740289881672,4.310410049258553,0.44600198298603594
-4.159554349981241,4.495687772770684,0.45318979397901266
-4.067041200732319,4.647307055309853,0.4593631659117597
-3.9468428610699053,4.817407083171776,0.4652358777876209
-3.831081627081422,4.9723313313523825,0.4705633536241466
-3.69793821677392,5.133071186461252,0.47560609981571245
-3.5712908360241027,5.277019550590209,0.4799785502538934
-3.432659216888773,5.421848512167934,0.4840275916112245
-3.2811123917555514,5.568950191206268,0.4879509078443451
-3.126904356551382,5.705703836614511,0.49132321284436103
-2.9694051538932134,5.836651602459222,0.4943362440064225
-2.8037987479412356,5.963731869205832,0.49712026545679894
-2.6218566034492454,6.092999044032661,0.4998489457298479
-2.437003240180015,6.212635389965433,0.5021232535347852
-2.262192306687673,6.319416200209196,0.504198536392333
-2.060023976286445,6.431327241078792,0.5061772408980845
