Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.73545765119168e+06	1.83693961026308e-02,0.00000000000000e+00	7.24960413020013e-05,0.00000000000000e+00	7.24960413020013e-05,0.00000000000000e+00	1.83693961026312e-02,0.00000000000000e+00
2.74176353232969e+06	1.83627961134175e-02,0.00000000000000e+00	7.26109582903268e-05,0.00000000000000e+00	7.26109582903268e-05,0.00000000000000e+00	1.83627961134169e-02,0.00000000000000e+00
2.74808395002501e+06	1.83561728209020e-02,0.00000000000000e+00	7.27258539913848e-05,0.00000000000000e+00	7.27258539913848e-05,0.00000000000000e+00	1.83561728209020e-02,0.00000000000000e+00
2.75441893778787e+06	1.83495261707472e-02,0.00000000000000e+00	7.28407270828386e-05,0.00000000000000e+00	7.28407270828385e-05,0.00000000000000e+00	1.83495261707460e-02,0.00000000000000e+00
2.76076852920575e+06	1.83428561087038e-02,0.00000000000000e+00	7.29555762365040e-05,0.00000000000000e+00	7.29555762365040e-05,0.00000000000000e+00	1.83428561087029e-02,0.00000000000000e+00
2.76713275794354e+06	1.83361625806270e-02,0.00000000000000e+00	7.30704001183798e-05,0.00000000000000e+00	7.30704001183798e-05,0.00000000000000e+00	1.83361625806280e-02,0.00000000000000e+00
2.77351165774376e+06	1.83294455324638e-02,0.00000000000000e+00	7.31851973885950e-05,0.00000000000000e+00	7.31851973885950e-05,0.00000000000000e+00	1.83294455324650e-02,0.00000000000000e+00
2.77990526242669e+06	1.83227049102653e-02,0.00000000000000e+00	7.32999667014897e-05,0.00000000000000e+00	7.32999667014897e-05,0.00000000000000e+00	1.83227049102654e-02,0.00000000000000e+00
2.78631360589058e+06	1.83159406601786e-02,0.00000000000000e+00	7.34147067055756e-05,0.00000000000000e+00	7.34147067055756e-05,0.00000000000000e+00	1.83159406601782e-02,0.00000000000000e+00
2.79273672211185e+06	1.83091527284602e-02,0.00000000000000e+00	7.35294160435801e-05,0.00000000000000e+00	7.35294160435801e-05,0.00000000000000e+00	1.83091527284604e-02,0.00000000000000e+00
2.79917464514521e+06	1.83023410614747e-02,0.00000000000000e+00	7.36440933524369e-05,0.00000000000000e+00	7.36440933524369e-05,0.00000000000000e+00	1.83023410614737e-02,0.00000000000000e+00
2.80562740912389e+06	1.82955056056859e-02,0.00000000000000e+00	7.37587372632971e-05,0.00000000000000e+00	7.37587372632971e-05,0.00000000000000e+00	1.82955056056868e-02,0.00000000000000e+00
2.81209504825981e+06	1.82886463076776e-02,0.00000000000000e+00	7.38733464015460e-05,0.00000000000000e+00	7.38733464015460e-05,0.00000000000000e+00	1.82886463076785e-02,0.00000000000000e+00
2.81857759684373e+06	1.82817631141479e-02,0.00000000000000e+00	7.39879193868446e-05,0.00000000000000e+00	7.39879193868446e-05,0.00000000000000e+00	1.82817631141474e-02,0.00000000000000e+00
2.82507508924549e+06	1.82748559718973e-02,0.00000000000000e+00	7.41024548330788e-05,0.00000000000000e+00	7.41024548330788e-05,0.00000000000000e+00	1.82748559718979e-02,0.00000000000000e+00
2.83158755991414e+06	1.82679248278577e-02,0.00000000000000e+00	7.42169513484362e-05,0.00000000000000e+00	7.42169513484362e-05,0.00000000000000e+00	1.82679248278585e-02,0.00000000000000e+00
