Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
2.94462500486541e+06	9.08401334696071e-03,0.00000000000000e+00	1.89943291330594e-04,0.00000000000000e+00	2.39144205431561e-05,0.00000000000000e+00	2.39144205431561e-05,0.00000000000000e+00	9.08401334696049e-03,0.00000000000000e+00
2.95141306655176e+06	9.06742732608142e-03,0.00000000000000e+00	1.89607735323384e-04,0.00000000000000e+00	2.39174839523441e-05,0.00000000000000e+00	2.39174839523441e-05,0.00000000000000e+00	9.06742732608139e-03,0.00000000000000e+00
2.95821677633639e+06	9.05085589454734e-03,0.00000000000000e+00	1.89272478736383e-04,0.00000000000000e+00	2.39204737605884e-05,0.00000000000000e+00	2.39204737605885e-05,0.00000000000000e+00	9.05085589454850e-03,0.00000000000000e+00
2.96503617029188e+06	9.03429912554304e-03,0.00000000000000e+00	1.88937523008036e-04,0.00000000000000e+00	2.39233899479276e-05,0.00000000000000e+00	2.39233899479276e-05,0.00000000000000e+00	9.03429912554246e-03,0.00000000000000e+00
2.97187128457399e+06	9.01775709179172e-03,0.00000000000000e+00	1.88602869567245e-04,0.00000000000000e+00	2.39262324949017e-05,0.00000000000000e+00	2.39262324949017e-05,0.00000000000000e+00	9.01775709179211e-03,0.00000000000000e+00
2.97872215542180e+06	9.00122986558074e-03,0.00000000000000e+00	1.88268519833506e-04,0.00000000000000e+00	2.39290013825692e-05,0.00000000000000e+00	2.39290013825692e-05,0.00000000000000e+00	9.00122986558076e-03,0.00000000000000e+00
2.98558881915796e+06	8.98471751873457e-03,0.00000000000000e+00	1.87934475216635e-04,0.00000000000000e+00	2.39316965924713e-05,0.00000000000000e+00	2.39316965924713e-05,0.00000000000000e+00	8.98471751873343e-03,0.00000000000000e+00
2.99247131218884e+06	8.96822012263174e-03,0.00000000000000e+00	1.87600737117096e-04,0.00000000000000e+00	2.39343181066724e-05,0.00000000000000e+00	2.39343181066724e-05,0.00000000000000e+00	8.96822012263209e-03,0.00000000000000e+00
2.99936967100472e+06	8.95173774820313e-03,0.00000000000000e+00	1.87267306925754e-04,0.00000000000000e+00	2.39368659077280e-05,0.00000000000000e+00	2.39368659077280e-05,0.00000000000000e+00	8.95173774820421e-03,0.00000000000000e+00
3.00628393218002e+06	8.93527046593199e-03,0.00000000000000e+00	1.86934186024065e-04,0.00000000000000e+00	2.39393399787080e-05,0.00000000000000e+00	2.39393399787080e-05,0.00000000000000e+00	8.93527046593163e-03,0.00000000000000e+00
3.01321413237346e+06	8.91881834583940e-03,0.00000000000000e+00	1.86601375783842e-04,0.00000000000000e+00	2.39417403031650e-05,0.00000000000000e+00	2.39417403031650e-05,0.00000000000000e+00	8.91881834583918e-03,0.00000000000000e+00
3.02016030832827e+06	8.90238145750440e-03,0.00000000000000e+00	1.86268877567461e-04,0.00000000000000e+00	2.39440668651607e-05,0.00000000000000e+00	2.39440668651607e-05,0.00000000000000e+00	8.90238145750491e-03,0.00000000000000e+00
